callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
DAL476,31730.0,3354.23244309,56941.05751407702,179.93374174448354,70.0375007423152,0.0017082317254223228,0.06832926901689336,0.9433825795472854,0.11544456951370287,0.004173380449017303
CFG063,39018.0,4945.12658407,29350.05964230983,92.74618846969865,36.10057336004062,0.0008805017892692895,0.03522007157077163,0.4328135038600744,0.057337724320988555,0.005539396673074414
DAL162,31819.0,3626.1494356,22333.58185596945,70.57411866486385,27.470305682842408,0.0006700074556790851,0.02680029822716332,0.32710442947202356,0.04578868080237911,0.0043431242309976414
AFR689,34388.0,3886.85204643,23451.18387264132,74.10574103754726,28.844956163348932,0.000703535516179239,0.028141420647169485,0.3400547419917954,0.04994977120780923,0.0049324822773545605
UAL923,39836.0,4810.59178612,27376.096502035068,86.50846494643216,33.67259869750351,0.0008212828950610591,0.03285131580244244,0.40113334181009624,0.05688825782282917,0.005850977092506057
KLM606,42098.0,4862.35092849,29734.069326562526,93.95965907193822,36.57290527167231,0.0008920220797968833,0.0356808831918755,0.429618597243619,0.0599976255194676,0.005669711517178607
VIR6J,37560.0,3907.51817622,64522.40839056637,203.8908105141888,79.36256232039659,0.0019356722517169915,0.07742689006867914,1.067899066161045,0.12312487052838626,0.003790772479132533
VIR106F,37825.0,4204.20915105,24547.414312472156,77.56982922741221,30.193319604340523,0.0007364224293741628,0.029456897174966516,0.3538957983444117,0.051894715228633294,0.005118369667870494
NRS4BX,41381.0,4779.67355021,27809.67110491931,87.87856069154662,34.20589545905077,0.0008342901331475836,0.033371605325903324,0.4112656040751472,0.05635938431852536,0.005732025874419891
THY80L,55061.0,6027.17770921,36729.84656489976,116.06631514508223,45.17771127482653,0.0011018953969469923,0.044075815877879655,0.5089706415796031,0.07966531527301714,0.00699879696688529
ISS9BG,35775.0,3554.70747766,55248.877674351995,174.5864534509497,67.95611953945236,0.0016574663302305487,0.0662986532092217,0.946301579514621,0.11197429701868013,0.004161135269554147
THY10,56146.0,6183.88477427,37370.76980516223,118.09163258431428,45.96604686034972,0.0011211230941548835,0.04484492376619465,0.5180910295522201,0.08069629142190392,0.007108041284010087
BAW280,42136.0,4828.13179156,27733.85147793332,87.63897067026844,34.11263731785797,0.0008320155443380015,0.03328062177351968,0.41535093062184897,0.05458183617360345,0.005536299138099571
