callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
VIR106F,37830.0,4204.22499051,24551.913981860107,77584.0481826786,30198.854197687895,0.7365574194558068,29.46229677823238,353.970165507052,51.904137764070484,5.119203305438504
NRS4BX,41304.0,4779.60900051,27751.25120856766,87693.953819074,34134.03898653833,0.832537536257039,33.30150145028064,410.4777807136858,56.233074667096794,5.720733409021889
THY80L,55226.0,6027.22288354,36849.2947399208,116443.77137815047,45324.63253010312,1.1054788421976252,44.219153687905134,510.5480701381119,79.97329224223515,7.0261857410252215
ISS9BG,35927.0,3554.75038335,55602.76368705721,175704.73325110093,68391.39933508013,1.66808291061171,66.72331642446804,951.7004254351434,111.90547271733053,4.101891943603307
THY10,56138.0,6183.86522409,37372.65920537812,118097.6030889954,45968.370822614816,1.1211797761613387,44.847191046453446,518.2070028574386,80.69568100291353,7.110341757192022
BAW280,42057.0,4828.08917095,27665.621870266477,87423.36511004131,34028.71490042727,0.8299686561079838,33.19874624431938,414.3224841439593,54.432281046915094,5.522117000099094
ETD76T,59007.0,6485.16250409,39251.80076946232,124035.69043150054,48279.71494643865,1.1775540230838761,47.10216092335477,551.5522959084176,81.80075024112729,7.200222859230382
UAE5RQ,37235.0,3554.90529856,21791.5806482527,68861.39484847865,26803.644197350775,0.6537474194475863,26.149896777903173,319.9674895408728,47.660098151483275,4.825528379504683
BAW89P,44722.0,4755.73101228,27020.47486487321,85384.70057299946,33235.18408379384,0.8106142459462022,32.424569837847756,386.76161697127566,57.55750356979238,5.7168835209893025
VIR20V,45164.0,4687.8246571,27477.17127821356,86827.8612391535,33796.920672202294,0.8243151383464018,32.972605533855905,392.8434327984021,58.03396825341556,5.533375938109996
ETD140,57277.0,6148.53108717,36502.56515624064,115348.10589372095,44898.15514217625,1.0950769546872194,43.803078187488985,512.1540454740523,77.50206927691978,6.973664642338864
AZA61CM,39897.0,3789.22195427,58013.9742866457,183324.1587457979,71357.18837257352,1.7404192285993572,69.61676914397464,973.2578633181764,109.88210950690804,3.2746884771247724
ACA836,37446.0,3332.31066453,20669.706899920915,65316.27380375026,25423.739486902883,0.620091206997632,24.80364827990503,299.503252172081,43.88423870063202,4.149733138212521
UAL938,38852.0,3473.30204474,22258.25160421777,70336.07506932814,27377.649473188085,0.6677475481265344,26.70990192506138,326.47158606332584,43.53778816027422,4.008903438292755
BAW72A,47636.0,4839.67518603,28811.39473655798,91044.0073675238,35438.01552596658,0.8643418420967419,34.573673683869515,412.67840861391375,57.891665597124764,5.3444067101803565
TPA4047,44902.0,4132.72668195,64630.71278479768,204233.05239995828,79495.77672530116,1.938921383543917,77.55685534175657,1069.9869095009253,129.33679600707904,4.194646684285726
UAL930,50164.0,4658.96201199,29256.17264379809,92449.50555440188,35985.09235187141,0.8776851793139431,35.10740717255787,406.8171662946596,61.9677674973826,5.488617767905836
SWR39,52804.0,5154.88640601,31179.44013990844,98527.03084211111,38350.71137208735,0.9353832041972628,37.41532816789,442.4491307424742,64.57220353756583,5.825766398350513
BAW38P,47279.0,4679.04982765,27007.015633793013,85342.16940278752,33218.629229565704,0.8102104690137987,32.40841876055232,396.78399476903826,53.95638303133992,5.248614948999698
NAX4PF,42605.0,3792.97437673,21495.681848148386,67926.35464014906,26439.68867322239,0.6448704554444511,25.794818217777994,320.983941203397,43.12831567097583,4.696189159649798
BAW6B,49517.0,4741.59591499,27479.700208084272,86835.852657547,33800.031255943824,0.8243910062425243,32.975640249701556,411.07794559651745,54.54044366684275,5.532453341633845
VIR42X,50787.0,4721.84041024,27296.51647242515,86256.99205286345,33574.7152610831,0.8188954941727518,32.755819766910165,409.9354488866899,54.163793270502325,5.58714104317313
BAW274,52253.0,4611.99985759,27546.22465581835,87046.0699123864,33881.856326656576,0.8263867396745508,33.05546958698213,394.2390224579641,56.36802594593315,5.248591793135045
BAW268,54108.0,4820.3136238,28231.234443009816,89210.70083991133,34724.41836490232,0.8469370332902901,33.87748133161156,407.77252655412383,58.249957395548044,5.68652018877894
DLH459,57923.0,5197.48160754,29676.670657886007,93778.27927891984,36502.30490919983,0.8903001197365696,35.61200478946315,425.04494515940905,63.16235955526218,6.145311501976299
BAW8C,52234.0,4184.78854384,25650.03532507314,81054.11162723131,31549.543449839744,0.7695010597521965,30.780042390088134,370.73002808408074,51.64290142488649,4.790941856860307
THY6320,59240.0,5111.69764955,31114.913841960602,98323.12774059681,38271.34402561157,0.9334474152588172,37.337896610353376,483.0181419715721,55.09388553458395,5.544926677960797
FDX21,76441.0,4130.86365509,35217.58632336418,111287.57278183138,43317.63117773818,1.0565275897009416,42.26110358803771,452.7012262404869,84.79914014364529,6.934769876508009
N990LT,86399.0,4353.19242751,38502.538735648675,121668.02240464962,47358.122644847994,1.155076162069465,46.20304648277848,482.1182687014925,125.98295763974343,11.59835455246404
TOM050,86399.0,5110.8304054,38221.892974209964,120781.18179850226,47012.928358278274,1.1466567892262982,45.866271569051925,498.10551393797687,93.30899576831452,8.092253705877736
AAL87,73881.0,3514.01222999,30471.64110317215,96290.38588602355,37480.11855690202,0.9141492330951689,36.56596932380671,406.48583023633125,72.0133968487804,6.154215868123173
DAL43,78551.0,3740.3799305,31963.862004249735,101005.80393342867,39315.55026522705,0.9589158601274906,38.35663440509914,420.0590528141676,74.62944538980325,6.191566062617938
ACA879,81831.0,3717.63772234,88290.93696463345,278999.3608082415,108597.85246650019,2.6487281089390153,105.94912435755974,1343.1702833070667,200.35743364783502,7.370688799178956
DAL17,78437.0,3330.34466361,82087.18558397122,259395.5064453478,100967.23826828504,2.4626155675191286,98.50462270076602,1277.5287721826533,185.04687514642575,6.911335882995729
ACA893,80428.0,3629.11817026,84540.5469857238,267148.1284748886,103984.87279244083,2.5362164095717485,101.44865638286947,1302.6988751244617,193.3699425421327,7.470911751250066
DLH422,74759.0,3262.51678395,27699.792362000768,87531.34386392128,34070.74460526125,0.8309937708600201,33.23975083440129,372.1230029351453,67.3189474667114,5.836240144559992
AAL47,81238.0,3513.64032532,30136.170747347245,95230.29956161945,37067.49001923707,0.9040851224204353,36.1634048968167,405.16796667006605,71.98782764899471,6.324706645083493
ACA835,79105.0,3237.65368335,76461.35405715399,241617.87882060526,94047.46549029902,2.293840621714611,91.75362486858492,1184.0312473325816,171.4720162355919,6.569897571927952
ACA881,79673.0,3290.42476789,28543.876603939298,90198.6500684476,35108.96822284501,0.8563162981181662,34.25265192472665,380.4600865133946,68.19759184124555,5.822416117305491
TSC111,77923.0,3003.2349156,73801.14970534237,233211.6330688828,90775.41413757156,2.2140344911602825,88.56137964641036,1194.8098979482022,164.7695846198832,6.478681483240284
VPBMS,85846.0,4315.27758064,32038.708891965707,101242.32009861222,39407.611937117894,0.9611612667589734,38.44645067035929,426.7163771493564,74.79614069924561,6.404462792610679
BAW91C,86399.0,3605.93645433,32473.548598874535,102616.41357244353,39942.464776615125,0.97420645796624,38.968258318649625,426.674096276975,68.282804495242,5.429546611960192
EIN123,81299.0,3271.44039299,77433.02331578457,244688.35367787778,95242.61867841528,2.3229906994735434,92.91962797894097,1229.9258140062545,168.66660265141047,6.107735919425593
NAX5HB,86399.0,4656.53620637,32567.73281670804,102914.03570079569,40058.3113645504,0.977031984501237,39.08127938004952,441.3235881094969,72.14775789416699,6.541912115189059
